MSME_ID,Customer_Segment,Business_Type,Industry,Location_Category,Years_in_Operation,Employee_Count,Annual_Turnover_INR,Monthly_GST_Sales_INR,Monthly_GST_Purchases_INR,GST_Filing_Timeliness_Pct,GST_Return_Frequency,Monthly_UPI_Inflow_INR,Monthly_UPI_Outflow_INR,UPI_Avg_Ticket_Size_INR,UPI_Daily_Txn_Count,Transaction_Volatility_Index,Monthly_Bank_Credits_INR,Monthly_Bank_Debits_INR,Average_Bank_Balance_INR,Cashflow_Stability_Index,Has_Existing_Loan,Monthly_Loan_EMI_INR,EMI_On_Time_Rate_Pct,Overdraft_Usage_Ratio,Monthly_Payroll_INR,Salary_Consistency_Pct,Employee_Attrition_Rate_Pct,Avg_Invoice_Payment_Delay_Days,Customer_Concentration_Ratio,Vendor_Payment_Timeliness_Pct,Seasonality_Index,Revenue_Growth_Rate_Pct,Credit_History_Months,Business_Stability_Score,Cashflow_Score,Revenue_Consistency_Score,Payment_Behaviour_Score,Business_Growth_Score,Compliance_Score,Financial_Health_Score,Probability_of_Default,Credit_Risk_Category,Credit_Eligible,Recommended_Credit_Limit_INR
MSME0001184,Existing-to-Credit,Private Limited,Retail,Metro,7.3,1,1654828,138339,77378,81.0,Monthly,62982,43162,313,7.7,0.309,136025,92853,117126,0.583,Yes,19846,82.9,0.362,21951,76.6,15.1,8.2,0.129,67.5,0.745,7.4,54,72.0,64.4,54.9,76.4,36.3,79.9,73.3,0.1103,Medium,Yes,124000
MSME0001185,NTC,LLP,Retail,Tier 1,5.1,3,6084648,515118,287782,78.5,Monthly,272804,158704,510,20.6,0.222,466646,444890,118182,0.694,No,0,,0.229,39102,81.5,26.6,7.0,0.884,79.0,0.235,-7.9,0,66.5,68.4,70.6,82.9,28.7,79.3,68.8,0.1494,Medium,Yes,517000
MSME0001186,NTB,Private Limited,Construction,Tier 2,11.8,3,9486015,746231,654958,97.0,Monthly,131639,95328,279,18.2,0.056,814368,642656,450842,0.859,No,0,,0.177,58661,86.1,15.7,23.8,0.434,92.0,0.426,11.0,0,80.3,82.0,78.6,85.4,41.9,94.3,84.2,0.0236,Low,Yes,1683000
MSME0001187,NTB,Private Limited,Services,Tier 2,4.5,1,3276165,287790,219435,95.6,Monthly,140482,82587,430,12.6,0.212,327361,317812,78042,0.732,No,0,,0.188,18900,87.5,15.4,17.7,0.359,85.1,0.637,10.9,0,69.7,71.2,64.0,83.3,38.8,93.5,81.3,0.042,Low,Yes,515000
MSME0001188,NTC,Proprietorship,IT & Digital,Tier 3,3.7,1,2949892,226992,147753,77.9,Quarterly,10526,3768,187,2.2,0.342,221458,185310,118618,0.666,No,0,,0.194,23245,79.0,17.8,9.7,0.301,71.2,0.132,-1.2,0,64.5,70.0,67.0,77.9,30.3,78.2,67.8,0.1638,High,No,0
MSME0001189,NTB,Partnership,Retail,Tier 1,4.4,1,1472470,107445,78841,79.3,Monthly,67044,25893,398,6.5,0.43,115917,87812,85381,0.551,No,0,,0.355,26154,78.5,21.1,11.5,0.588,76.4,0.265,28.1,0,65.4,61.3,62.8,80.2,50.8,79.1,67.6,0.2257,High,No,0
MSME0001190,Existing-to-Credit,Proprietorship,Food & Beverage,Tier 2,6.9,1,3433902,280260,188409,97.9,Monthly,149051,93729,537,10.7,0.071,279929,214612,173106,0.842,Yes,76066,92.6,0.123,34610,92.1,17.1,7.7,0.947,94.6,0.366,-8.4,51,75.4,82.9,76.4,93.4,25.2,96.4,78.1,0.0388,Low,Yes,600000
MSME0001191,NTC,Partnership,Services,Tier 3,4.7,3,3384963,255304,153373,77.1,Monthly,76892,53832,142,20.8,0.334,273343,256922,71844,0.506,No,0,,0.336,87508,72.0,26.0,18.1,0.352,79.6,0.227,17.8,0,62.9,55.6,68.0,80.1,46.7,75.8,69.4,0.1775,High,No,0
MSME0001192,NTB,Private Limited,Services,Tier 2,2.4,2,5744026,464116,329588,84.6,Monthly,153373,88309,531,11.1,0.271,476461,453584,106815,0.605,No,0,,0.19,48862,89.9,25.7,8.9,0.466,75.4,0.474,-13.3,0,61.6,64.5,60.9,80.4,23.6,85.9,70.9,0.1263,Medium,Yes,442000
MSME0001193,NTC,LLP,Textiles,Tier 2,5.1,1,2275708,181595,172516,100.0,Monthly,68592,21121,180,14.6,0.224,178504,141365,100460,0.829,No,0,,0.107,31288,89.0,18.0,4.7,0.523,96.7,0.328,25.3,0,70.9,82.1,73.1,93.3,48.8,97.2,87.0,0.0234,Low,Yes,393000
MSME0001194,NTC,Proprietorship,IT & Digital,Tier 1,4.9,1,729183,60584,51673,74.1,Monthly,14834,7911,319,1.8,0.383,59373,53766,12769,0.565,No,0,,0.304,18726,77.3,18.9,10.1,0.436,78.6,0.425,2.0,0,66.7,60.4,57.7,81.8,32.5,74.9,65.5,0.2398,High,No,0
MSME0001195,NTC,Private Limited,Textiles,Metro,0.8,2,5232857,428890,250839,96.5,Monthly,26140,14485,378,2.7,0.304,431755,325462,217696,0.632,No,0,,0.058,24675,88.9,15.7,6.5,0.439,88.3,0.263,21.8,0,55.4,73.2,69.4,88.2,48.2,94.6,73.9,0.0725,Medium,Yes,415000
MSME0001196,Existing-to-Credit,Private Limited,Manufacturing,Tier 2,1.0,7,15212973,1186260,895964,82.3,Monthly,186687,117572,719,10.0,0.266,1201847,973729,651814,0.718,Yes,299689,94.9,0.165,138810,91.5,19.9,7.8,0.133,82.4,0.182,11.7,6,56.5,74.1,72.2,87.2,45.5,84.6,84.4,0.0354,Low,Yes,2356000
MSME0001197,NTC,Private Limited,Manufacturing,Tier 1,1.1,4,8009196,703089,558433,86.4,Monthly,206019,146852,847,9.4,0.273,732632,649229,313606,0.722,No,0,,0.245,109007,82.2,7.0,3.5,0.379,83.5,0.076,13.3,0,57.6,70.8,74.7,86.3,44.6,85.4,77.9,0.0657,Medium,Yes,701000
MSME0001198,NTC,Proprietorship,Food & Beverage,Tier 2,0.3,5,4434949,366628,223835,73.4,Quarterly,191826,119194,488,15.1,0.399,388669,316301,217703,0.641,No,0,,0.292,153811,82.2,25.2,20.3,0.173,78.3,0.315,16.1,0,46.8,66.7,61.6,78.8,47.3,75.6,68.2,0.2149,High,No,0
MSME0001199,Existing-to-Credit,Proprietorship,Manufacturing,Tier 2,6.8,5,11217311,988827,721809,78.2,Monthly,245353,148947,1050,9.0,0.253,1077858,704552,940393,0.606,Yes,21557,88.0,0.312,125993,86.6,11.7,5.4,0.378,74.3,0.072,5.9,29,75.0,67.5,74.9,82.0,40.2,80.3,76.7,0.0771,Medium,Yes,864000
MSME0001200,Existing-to-Credit,Proprietorship,Logistics,Tier 1,5.0,3,4728750,393724,234276,100.0,Monthly,47874,16441,243,7.6,0.146,413855,375707,98026,0.83,Yes,20882,98.0,0.097,93005,100.0,1.7,17.9,0.563,100.0,0.128,17.5,27,78.1,80.1,81.7,94.6,46.5,100.0,87.4,0.026,Low,Yes,817000
MSME0001201,NTB,Proprietorship,Trading,Rural,15.0,1,828219,68233,24098,80.9,Monthly,23370,7275,264,3.4,0.332,66818,45836,37781,0.762,Yes,13172,89.4,0.221,14756,89.1,10.8,26.2,0.214,92.6,0.131,26.7,109,85.4,77.6,71.8,86.5,49.8,83.0,79.9,0.0635,Medium,Yes,75000
MSME0001202,NTB,Private Limited,Trading,Tier 1,2.6,7,15003291,1202819,684975,71.4,Monthly,286693,197934,1144,9.6,0.365,1270419,1227721,218927,0.488,No,0,,0.329,117878,77.4,12.3,23.6,0.286,77.5,0.412,-31.0,0,61.9,54.3,54.1,77.5,15.6,72.9,64.9,0.2773,High,No,0
MSME0001203,NTB,LLP,Construction,Tier 3,2.0,3,8819457,764935,378015,99.1,Monthly,261191,145713,570,17.6,0.031,794497,628863,384185,0.835,No,0,,0.091,64338,100.0,19.3,12.1,0.884,90.6,0.128,10.4,0,64.6,82.8,87.5,87.9,41.5,99.3,76.6,0.0453,Low,Yes,1531000
MSME0001204,Existing-to-Credit,Private Limited,Logistics,Tier 2,7.6,3,8985581,698699,370511,87.0,Monthly,259172,182682,690,14.5,0.337,763358,544762,327989,0.63,Yes,256566,87.0,0.205,85878,87.3,7.8,9.7,0.337,79.9,0.398,10.6,29,77.4,70.3,62.4,83.6,41.6,87.1,73.7,0.1027,Medium,Yes,712000
MSME0001205,Existing-to-Credit,Proprietorship,Retail,Tier 3,5.2,2,1047726,88502,51512,82.3,Monthly,53971,37521,428,4.8,0.263,91552,63489,62284,0.527,Yes,6675,79.9,0.275,52169,85.4,9.8,4.7,0.276,73.1,0.604,21.3,24,72.1,63.3,63.3,79.9,47.8,83.1,75.4,0.0765,Medium,Yes,73000
MSME0001206,Existing-to-Credit,Proprietorship,Retail,Tier 1,3.2,2,4298393,342851,254637,75.4,Monthly,179723,90033,918,7.5,0.231,358075,304462,155636,0.608,Yes,125326,87.5,0.31,35692,76.2,18.7,13.2,0.347,77.6,0.179,-25.2,12,62.0,63.7,68.9,81.5,15.3,75.6,68.5,0.1773,High,No,0
MSME0001207,NTC,Private Limited,Trading,Tier 3,3.7,2,4329134,345773,127929,81.8,Monthly,81478,32175,366,8.6,0.156,367403,310374,142910,0.762,No,0,,0.229,61011,82.3,13.4,20.4,0.559,90.7,0.328,18.4,0,66.6,74.3,76.2,85.6,45.8,81.9,77.4,0.0587,Low,Yes,701000
MSME0001208,NTC,Proprietorship,Services,Tier 2,4.8,1,1403435,122350,80450,85.7,Quarterly,28095,14584,228,4.7,0.24,131274,103782,63030,0.613,No,0,,0.354,19217,85.1,17.4,13.9,0.544,71.4,0.338,-9.4,0,69.2,64.1,66.7,76.8,24.6,85.5,68.4,0.1837,High,No,0
MSME0001209,NTC,Proprietorship,Manufacturing,Metro,4.8,2,7783311,576024,394181,80.1,Monthly,97761,49873,140,26.8,0.166,650608,567003,299111,0.788,No,0,,0.292,45154,80.8,12.2,26.7,0.367,73.1,0.521,-12.3,0,69.2,73.6,66.2,74.2,24.3,80.3,70.1,0.1667,High,No,0
MSME0001210,Existing-to-Credit,Partnership,Services,Tier 2,12.8,3,5883034,464764,385437,88.8,Monthly,328630,167878,696,18.2,0.169,507109,383746,344550,0.745,Yes,117176,85.0,0.247,107762,89.1,26.9,19.2,0.53,89.6,0.065,34.1,100,79.4,74.7,84.3,86.0,58.1,88.9,84.0,0.0293,Low,Yes,937000
MSME0001211,NTB,Private Limited,Logistics,Metro,1.7,8,8898978,781235,542524,87.6,Monthly,223457,122319,795,10.8,0.091,765574,526531,489863,0.755,No,0,,0.206,169001,88.8,17.5,18.3,0.306,86.4,0.296,38.2,0,60.3,77.6,83.8,83.8,64.6,87.9,80.3,0.0414,Low,Yes,1431000
MSME0001212,NTC,Private Limited,Construction,Metro,2.7,3,5053674,414675,263698,88.4,Monthly,96493,81970,222,16.7,0.236,385076,327081,127984,0.676,No,0,,0.231,76592,88.9,8.9,20.7,0.67,84.7,0.269,-18.5,0,66.6,69.4,67.3,82.2,21.3,88.5,74.5,0.1003,Medium,Yes,421000
MSME0001213,Existing-to-Credit,Private Limited,Trading,Metro,6.7,3,3971492,302871,211181,82.1,Monthly,95230,47909,223,16.4,0.43,294438,251940,96841,0.72,Yes,31503,84.6,0.274,51603,79.1,20.1,10.6,0.632,83.1,0.247,-3.5,64,70.5,70.6,58.5,84.7,31.8,81.3,68.8,0.1856,High,No,0
MSME0001214,NTB,Proprietorship,Services,Tier 2,6.3,3,5007762,439391,327815,77.5,Monthly,249712,121732,1678,5.7,0.208,431299,349495,171774,0.689,No,0,,0.272,73006,83.3,9.6,32.4,0.482,83.7,0.223,-13.1,0,73.6,69.9,71.0,78.4,25.1,78.9,73.5,0.1156,Medium,Yes,423000
MSME0001215,NTC,Partnership,Manufacturing,Tier 1,10.7,4,13084301,1034191,838935,73.4,Monthly,389270,244433,529,28.3,0.453,1145159,1040468,297887,0.605,No,0,,0.415,62966,78.2,20.1,16.2,0.795,71.5,0.276,40.1,0,75.6,59.7,63.0,76.2,63.3,74.6,67.1,0.2676,High,No,0
MSME0001216,Existing-to-Credit,Proprietorship,Trading,Metro,2.7,1,2420863,203064,151810,92.9,Monthly,69490,27704,347,7.7,0.052,201810,142320,106675,0.888,Yes,70634,90.7,0.187,16313,93.0,10.6,13.9,0.763,90.2,0.289,27.1,8,67.4,85.1,84.7,88.9,50.1,92.9,82.9,0.0188,Low,Yes,441000
MSME0001217,NTB,Proprietorship,Services,Rural,1.5,4,9134441,745284,468364,94.9,Quarterly,359176,213313,1086,12.7,0.282,750751,642426,387078,0.825,Yes,262763,92.1,0.048,81783,92.9,15.0,2.8,0.476,83.1,0.075,7.7,14,61.1,82.1,73.4,88.4,40.6,94.4,81.8,0.0326,Low,Yes,1571000
MSME0001218,NTB,Private Limited,Trading,Tier 2,5.4,4,15794397,1381842,557955,76.4,Quarterly,236380,119576,1087,8.4,0.346,1428746,1224378,692067,0.6,No,0,,0.353,64206,81.9,20.4,10.7,0.468,73.2,0.177,12.0,0,68.8,62.0,67.6,78.7,43.6,77.8,69.8,0.1675,High,No,0
MSME0001219,NTC,Proprietorship,Food & Beverage,Metro,1.4,4,6973624,545864,236932,94.7,Monthly,353352,165913,1278,10.6,0.241,601549,438080,297776,0.749,No,0,,0.042,78689,97.5,17.2,13.8,0.303,85.9,0.274,38.0,0,61.4,80.6,75.4,84.8,61.8,95.4,86.2,0.0161,Low,Yes,1115000
MSME0001220,Existing-to-Credit,Private Limited,Retail,Tier 2,2.4,4,4140500,348143,174046,72.8,Monthly,144296,76689,718,7.7,0.416,336627,339054,24115,0.488,Yes,52685,80.2,0.373,86684,72.1,15.4,9.5,0.287,71.5,0.46,-1.4,10,58.8,52.4,54.4,77.7,34.3,72.7,63.9,0.2821,High,No,0
MSME0001221,NTB,Private Limited,Retail,Tier 2,10.3,6,3075398,268942,147465,90.2,Monthly,120228,96939,883,5.2,0.232,291064,213170,228933,0.806,No,0,,0.184,178999,86.3,16.6,12.9,0.139,92.7,0.498,18.4,0,78.5,80.1,67.4,88.8,49.6,89.2,83.1,0.0374,Low,Yes,520000
MSME0001222,NTC,Proprietorship,Manufacturing,Tier 2,5.8,1,718456,56861,35010,78.6,Monthly,7560,4238,234,1.2,0.292,60613,48174,32916,0.616,No,0,,0.324,27018,76.1,26.6,22.3,0.487,68.6,0.16,-29.5,0,66.3,64.9,65.1,72.9,10.5,78.0,65.8,0.2428,High,No,0
MSME0001223,NTB,Proprietorship,Textiles,Tier 3,1.5,17,18313526,1651770,1362074,90.4,Monthly,591568,450710,1920,11.8,0.211,1783466,1140517,1862211,0.723,No,0,,0.122,350759,89.5,25.8,4.4,0.266,83.8,0.476,2.8,0,57.4,78.9,66.8,86.3,42.9,90.2,79.3,0.0512,Low,Yes,2851000
MSME0001224,NTB,Proprietorship,Food & Beverage,Metro,9.0,1,2067309,176972,141993,78.1,Monthly,91524,67343,656,5.4,0.284,161282,148331,47302,0.493,No,0,,0.289,24843,80.6,15.7,6.0,0.455,83.5,0.416,-0.0,0,75.4,56.5,63.6,85.7,31.1,78.7,69.4,0.1533,High,No,0
MSME0001225,NTB,Partnership,Retail,Tier 1,7.9,1,3023415,207301,120793,83.0,Monthly,109725,49764,810,5.2,0.254,191857,144305,102135,0.674,Yes,38198,86.7,0.22,22336,92.0,16.3,16.3,0.471,77.7,0.786,0.8,77,77.2,71.6,56.2,80.6,31.7,85.2,78.6,0.0585,Low,Yes,447000
MSME0001226,NTB,Proprietorship,Textiles,Tier 1,8.2,6,3697924,329796,198147,85.3,Monthly,79787,33190,336,9.1,0.141,333678,306631,73947,0.678,Yes,33654,87.5,0.278,124775,83.1,11.0,8.0,0.211,87.4,0.324,3.7,53,76.2,67.0,75.0,88.4,39.3,84.7,82.4,0.0373,Low,Yes,549000
MSME0001227,Existing-to-Credit,Proprietorship,Services,Rural,3.6,2,3165647,306179,204004,85.0,Monthly,166244,90176,322,19.9,0.333,345765,215282,253626,0.557,Yes,84543,90.9,0.227,28510,83.8,17.7,5.4,0.149,84.6,0.204,9.9,20,65.7,67.5,67.4,88.2,39.9,84.7,74.5,0.094,Medium,Yes,230000
MSME0001228,NTC,Proprietorship,Services,Tier 2,12.6,1,3313484,238628,138327,88.8,Monthly,106031,93600,563,7.2,0.291,236882,148912,223477,0.752,No,0,,0.215,17631,86.9,18.7,18.2,0.384,81.3,0.116,20.3,0,80.6,78.4,73.7,81.0,45.3,88.4,78.7,0.0682,Medium,Yes,299000
MSME0001229,Existing-to-Credit,Partnership,Healthcare,Tier 1,2.9,6,19724493,1403732,744858,89.7,Quarterly,860627,514668,1852,17.9,0.331,1544068,1260593,908969,0.656,Yes,123188,87.9,0.351,179330,85.9,13.7,7.1,0.301,82.9,0.355,10.2,12,65.2,66.0,63.8,86.2,43.9,88.8,73.8,0.1084,Medium,Yes,1608000
MSME0001230,NTC,Proprietorship,Retail,Rural,2.5,1,2063296,177781,104006,65.3,Monthly,106146,72418,425,9.6,0.533,211205,181216,73910,0.475,No,0,,0.424,27198,73.0,14.8,14.9,0.131,66.8,0.739,19.4,0,59.6,53.4,43.4,74.0,44.7,67.2,62.9,0.3578,High,No,0
MSME0001231,Existing-to-Credit,Private Limited,Manufacturing,Tier 3,1.5,9,10730365,745011,590357,85.3,Monthly,288203,192336,802,13.8,0.303,761853,579931,456243,0.715,Yes,76402,86.0,0.201,168537,87.3,9.4,12.9,0.176,85.9,0.112,-19.9,8,60.9,74.1,67.1,85.8,24.4,85.8,74.0,0.1001,Medium,Yes,932000
MSME0001232,NTC,Proprietorship,Trading,Tier 2,6.9,4,9695901,675509,293046,91.9,Monthly,67096,45149,373,6.9,0.321,677129,437322,503571,0.679,No,0,,0.193,122532,89.2,1.0,4.9,0.43,89.1,0.275,2.7,0,78.6,74.6,65.3,89.1,37.1,91.2,78.6,0.0592,Low,Yes,1441000
MSME0001233,NTC,Partnership,Manufacturing,Tier 2,4.5,9,5032012,443515,249083,69.6,Monthly,74560,42822,167,17.1,0.361,455012,369672,198241,0.442,No,0,,0.377,194249,69.8,29.9,12.0,0.099,72.9,0.255,-14.1,0,60.8,53.6,60.8,78.2,28.5,69.6,65.7,0.2474,High,No,0
MSME0001234,NTB,Partnership,Food & Beverage,Tier 1,8.4,1,2892407,208858,164333,66.6,Monthly,79967,23068,242,12.7,0.502,254276,222134,85684,0.496,No,0,,0.495,20089,73.5,26.1,20.0,0.659,74.3,0.665,21.9,0,69.9,52.5,47.6,76.7,46.4,68.4,62.3,0.4161,High,No,0
MSME0001235,NTB,Partnership,Manufacturing,Tier 2,10.9,6,23604464,2023821,1018419,94.7,Monthly,358283,281931,1092,12.6,0.124,2151294,2051470,298588,0.752,Yes,126034,94.4,0.051,125483,91.9,8.0,5.9,0.48,73.3,0.183,19.8,87,83.0,76.0,82.0,82.6,50.6,94.0,81.8,0.0386,Low,Yes,3784000
MSME0001236,NTC,Proprietorship,Retail,Tier 3,3.2,9,11560722,709423,521050,82.4,Quarterly,430855,233649,1864,8.9,0.21,676881,596557,319650,0.686,No,0,,0.18,198756,86.6,28.8,13.1,0.25,81.0,0.159,-25.8,0,62.6,70.6,70.6,82.3,20.3,83.4,77.9,0.0614,Medium,Yes,974000
MSME0001237,NTC,Proprietorship,Manufacturing,Metro,10.1,4,13401862,1010538,682752,78.3,Monthly,224093,79831,525,16.4,0.216,1038374,864908,424168,0.711,No,0,,0.229,104921,88.3,34.7,15.1,0.53,80.5,0.68,24.8,0,74.4,71.7,64.7,81.5,52.6,80.8,74.7,0.0988,Medium,Yes,1159000
MSME0001238,Existing-to-Credit,Proprietorship,Services,Tier 2,3.4,2,2523168,211487,124489,85.4,Monthly,101342,90176,398,9.8,0.197,218761,204207,61203,0.672,Yes,76566,82.4,0.231,72885,83.9,15.5,7.0,0.767,81.7,0.372,3.2,20,65.7,67.5,70.4,84.5,35.2,85.0,74.8,0.0758,Medium,Yes,209000
MSME0001239,NTC,Proprietorship,Retail,Tier 2,3.9,2,3605241,282540,151272,86.1,Monthly,104057,45946,203,19.7,0.196,319084,251683,221818,0.763,No,0,,0.257,40716,89.2,23.4,13.2,0.554,91.5,0.668,1.5,0,66.7,74.8,62.8,88.1,34.0,86.8,78.0,0.0608,Medium,Yes,329000
MSME0001240,Existing-to-Credit,Proprietorship,Retail,Tier 2,4.5,7,19516326,1664456,1078646,93.1,Quarterly,778953,527627,1104,27.1,0.191,1762966,1342578,1181038,0.713,Yes,503267,100.0,0.226,227236,90.9,2.6,29.5,0.219,82.5,0.415,18.6,46,74.0,73.3,71.9,82.2,50.4,92.6,81.1,0.0573,Low,Yes,3007000
MSME0001241,NTB,Private Limited,Textiles,Rural,5.8,1,1451562,111219,66433,71.6,Monthly,39204,9133,175,8.6,0.261,116828,80378,100878,0.708,No,0,,0.302,20526,83.8,20.4,12.7,0.483,84.3,0.502,-2.2,0,70.2,72.6,62.5,84.2,29.6,74.7,69.7,0.1544,High,No,0
MSME0001242,NTB,Proprietorship,Services,Tier 2,3.1,4,5184768,498075,321096,83.2,Monthly,233192,146796,239,37.5,0.202,523178,428606,270955,0.597,No,0,,0.197,79794,84.4,12.4,7.6,0.418,82.6,0.094,0.1,0,65.7,66.5,76.5,84.7,35.3,83.5,71.4,0.1124,Medium,Yes,395000
MSME0001243,NTC,Proprietorship,Services,Tier 3,1.8,4,9153226,746958,428925,80.0,Monthly,654674,274781,2338,10.8,0.273,782747,636890,427823,0.686,No,0,,0.27,106784,80.2,21.5,8.6,0.374,77.1,0.167,24.9,0,57.2,69.7,74.2,81.4,52.6,80.1,73.2,0.0965,Medium,Yes,771000
MSME0001244,NTB,Proprietorship,Retail,Tier 3,0.9,1,300000,24466,10660,96.0,Monthly,11489,9421,226,2.0,0.155,23983,20944,9366,0.868,No,0,,0.193,27100,90.9,6.3,4.5,0.349,94.5,0.457,17.2,0,59.1,80.5,72.8,92.1,43.2,94.8,79.6,0.0458,Low,Yes,54000
MSME0001245,NTB,Partnership,Services,Metro,5.4,2,2654043,210613,160401,86.9,Monthly,92048,40028,360,9.8,0.379,232706,207278,78976,0.59,No,0,,0.203,41287,87.4,18.4,10.3,0.59,80.5,0.228,22.2,0,70.9,64.6,65.9,82.8,48.4,87.0,72.5,0.1138,Medium,Yes,201000
MSME0001246,NTC,Partnership,Manufacturing,Tier 2,2.5,1,5252167,427173,359001,84.6,Monthly,53802,42635,130,16.0,0.282,426356,365443,185753,0.796,No,0,,0.152,20483,85.4,15.6,10.6,0.229,93.3,0.145,11.2,0,63.1,77.8,72.1,89.8,38.9,84.8,84.8,0.0247,Low,Yes,879000
MSME0001247,NTB,Proprietorship,Food & Beverage,Metro,10.1,3,5349987,491573,235216,78.0,Monthly,217773,179791,2497,3.4,0.353,507836,403265,329603,0.63,No,0,,0.29,56086,87.6,29.6,11.8,0.564,87.1,0.404,12.4,0,75.4,66.5,61.6,86.0,42.9,80.4,73.8,0.1016,Medium,Yes,424000
MSME0001248,Existing-to-Credit,Proprietorship,Manufacturing,Tier 2,4.2,1,1537549,115973,91744,100.0,Monthly,17662,10762,276,2.5,0.157,119749,80372,93873,0.896,Yes,38410,100.0,0.027,16459,100.0,8.6,9.6,0.421,100.0,0.274,56.1,42,74.4,90.2,83.1,97.3,70.4,100.0,93.7,0.0056,Low,Yes,282000
MSME0001249,NTB,Partnership,Textiles,Tier 1,5.0,2,3650036,292730,218735,83.3,Monthly,66481,35910,285,9.0,0.376,301844,274393,95625,0.617,Yes,69662,88.6,0.361,22589,87.0,12.3,12.5,0.269,80.6,0.543,28.8,19,71.5,61.7,59.2,83.6,53.1,84.2,70.1,0.165,High,No,0
MSME0001250,NTC,Partnership,Healthcare,Tier 3,3.2,2,1877376,191983,78335,78.2,Monthly,90332,66497,289,12.0,0.263,216448,175703,85180,0.497,No,0,,0.3,27261,80.3,14.1,30.3,0.598,73.3,0.584,-4.7,0,64.4,58.6,59.9,73.3,29.6,78.7,68.9,0.1935,High,No,0
MSME0001251,Existing-to-Credit,Proprietorship,Retail,Tier 2,7.6,1,2205084,173726,146948,70.5,Monthly,57386,35331,154,14.4,0.385,187826,160339,52299,0.457,Yes,17673,82.9,0.348,23849,75.9,16.4,11.3,0.442,71.8,0.343,13.7,39,71.9,54.4,61.4,78.0,40.7,71.9,67.2,0.2189,High,No,0
MSME0001252,NTC,Proprietorship,Retail,Tier 1,4.7,3,6352243,559030,324129,76.3,Monthly,256254,79447,441,22.3,0.247,620999,463988,298915,0.703,No,0,,0.301,79999,78.1,14.2,53.0,0.141,85.1,0.482,-4.6,0,67.7,71.2,63.5,73.5,31.0,76.8,68.6,0.2387,High,No,0
MSME0001253,NTC,Private Limited,Retail,Tier 2,4.8,1,1521547,122559,87063,72.2,Monthly,80523,45049,202,15.3,0.467,137015,118063,49989,0.595,No,0,,0.466,29638,73.8,24.9,37.2,0.22,57.3,0.25,26.2,0,64.0,58.8,60.7,62.5,49.4,72.6,63.8,0.3973,High,No,0
MSME0001254,NTB,Private Limited,Food & Beverage,Tier 1,5.8,10,9177134,711239,422781,98.4,Monthly,287701,154469,1096,10.1,0.175,656067,543817,416995,0.848,No,0,,0.172,196499,96.0,12.6,3.6,0.219,97.7,0.343,9.9,0,75.8,80.7,73.4,94.1,45.7,97.8,83.6,0.0259,Low,Yes,1612000
MSME0001255,NTC,Private Limited,Retail,Tier 1,6.4,1,3727918,284489,169539,71.4,Monthly,47712,40425,196,9.4,0.543,296635,196453,157597,0.565,No,0,,0.311,26634,72.7,20.1,16.1,0.8,81.4,0.356,9.3,0,68.0,65.0,50.9,81.7,37.6,71.7,64.1,0.3243,High,No,0
MSME0001256,NTC,Private Limited,Textiles,Tier 2,2.7,2,8539489,709264,379830,89.6,Quarterly,99102,73814,313,12.2,0.287,740630,605274,233720,0.629,No,0,,0.238,83741,81.0,15.2,11.7,0.21,81.4,0.519,16.6,0,62.7,67.3,63.3,82.9,44.5,87.4,75.8,0.0794,Medium,Yes,676000
MSME0001257,NTC,LLP,Logistics,Tier 3,6.4,3,3728326,366728,185888,78.1,Monthly,126051,78972,275,17.6,0.42,382731,346973,114624,0.584,No,0,,0.454,88521,74.1,8.0,30.1,0.5,69.2,0.261,6.5,0,71.5,57.6,60.3,71.1,38.7,77.1,63.3,0.3817,High,No,0
MSME0001258,NTB,Proprietorship,Construction,Metro,2.7,7,27912696,1944175,1157566,94.3,Monthly,119251,67249,378,12.1,0.177,2004679,1731374,614442,0.788,Yes,145873,93.0,0.158,129125,89.3,16.2,18.9,0.174,85.8,0.163,17.8,15,64.9,77.1,79.0,85.6,49.8,93.0,83.6,0.0266,Low,Yes,4636000
MSME0001259,Existing-to-Credit,Proprietorship,Trading,Tier 1,2.9,1,1471007,120011,88803,74.2,Monthly,6585,5356,111,2.3,0.331,108539,83513,64911,0.595,Yes,10122,79.5,0.328,24513,75.7,30.6,19.4,0.65,75.8,0.513,8.4,27,57.9,64.1,59.6,77.2,37.0,74.6,68.6,0.196,High,No,0
MSME0001260,NTC,Partnership,IT & Digital,Tier 1,8.8,5,14421494,1081837,772893,84.4,Monthly,280943,139441,1358,8.0,0.513,1006068,807548,489579,0.564,No,0,,0.305,116526,81.0,14.2,24.5,0.51,73.6,0.576,-12.3,0,75.6,62.3,44.0,75.1,27.4,83.6,66.6,0.2684,High,No,0
MSME0001261,NTC,LLP,Retail,Tier 3,9.9,1,5668381,494080,379382,81.6,Monthly,188700,169619,710,10.2,0.282,566658,433865,283486,0.531,No,0,,0.321,21183,76.1,14.9,18.6,0.799,73.0,0.251,-12.2,0,75.4,60.9,66.0,76.4,22.5,80.2,66.1,0.2283,High,No,0
